preco,area_m2,quartos,banheiros,garagem,idade_do_imovel,latitude,longitude,bairro,seguranca
1129624.54,119.39,3,2,1,26,-23.549724,-46.571587,Jardim Sul,2
670197.35,90.25,3,1,2,13,-23.657494,-46.525311,Zona Leste,2
708041.52,56.32,2,2,1,0,-23.587103,-46.617483,Vila Nobre,2
832947.46,135.79,3,2,2,24,-23.68589,-46.616148,Centro,3
806614.08,36.23,3,1,2,0,-23.696176,-46.668994,Vila Nobre,2
954853.04,164.53,2,2,0,0,-23.688963,-46.647851,Centro,3
1259892.74,150.25,2,2,2,47,-23.686057,-46.579493,Vila Nobre,3
1101565.82,138.06,3,2,1,47,-23.505975,-46.614002,Vila Nobre,2
759992.42,113.11,2,2,1,42,-23.519004,-46.552601,Jardim Sul,2
843113.62,92.84,3,2,1,15,-23.547097,-46.517207,Vila Nobre,1
682398.59,70.85,3,3,1,23,-23.526319,-46.699345,Vila Nobre,1
638053.62,85.41,2,2,1,15,-23.629454,-46.592917,Jardim Sul,1
474664.78,83.41,2,2,2,17,-23.676514,-46.668183,Bairro Industrial,3
898537.71,137.38,3,3,1,34,-23.562692,-46.663104,Centro,2
1055160.55,121.73,3,2,2,27,-23.564837,-46.657149,Jardim Sul,2
809562.8,85.23,2,3,1,25,-23.551284,-46.641777,Jardim Sul,2
1018334.56,164.07,3,3,1,31,-23.617617,-46.591251,Centro,2
785439.32,140.74,1,1,2,7,-23.522382,-46.577492,Zona Leste,2
873885.7,120.41,2,2,2,28,-23.670586,-46.698902,Jardim Sul,2
581199.63,88.08,2,3,2,43,-23.60223,-46.637729,Zona Leste,2
1098587.47,151.8,3,2,2,33,-23.665353,-46.634096,Vila Nobre,2
605885.69,84.66,1,1,1,11,-23.552062,-46.60346,Zona Leste,2
426647.95,36.55,3,2,1,16,-23.68531,-46.640335,Jardim Sul,2
835026.14,117.97,4,3,1,30,-23.563725,-46.536083,Jardim Sul,1
860486.74,73.82,2,3,1,15,-23.512922,-46.627678,Vila Nobre,3
921869.27,70.56,2,2,1,35,-23.556681,-46.612891,Vila Nobre,3
829554.83,147.72,3,3,1,15,-23.57437,-46.687078,Centro,2
669208.79,128.54,2,3,1,17,-23.646922,-46.546549,Zona Leste,2
1006264.38,119.81,2,2,2,16,-23.656711,-46.690173,Jardim Sul,1
298554.94,33.34,3,2,1,48,-23.577622,-46.503741,Zona Leste,2
1167228.05,149.68,1,1,3,15,-23.660744,-46.619547,Vila Nobre,2
828963.51,108.64,2,2,1,25,-23.618336,-46.52524,Jardim Sul,2
754413.34,93.71,1,1,1,25,-23.61261,-46.696595,Jardim Sul,3
481750.53,53.36,2,1,3,18,-23.624103,-46.547742,Zona Leste,3
1119462.73,158.7,3,2,1,19,-23.517555,-46.664853,Jardim Sul,2
679951.19,116.96,2,2,1,26,-23.607844,-46.658892,Jardim Sul,1
484412.58,20.31,3,2,1,8,-23.560878,-46.681515,Jardim Sul,3
1156599.56,113.57,2,2,1,32,-23.637771,-46.695834,Vila Nobre,2
264199.47,11.44,2,1,2,29,-23.698706,-46.590637,Zona Leste,1
947176.81,82.04,3,2,1,13,-23.689509,-46.557818,Vila Nobre,1
521591.14,93.15,2,2,1,30,-23.683134,-46.500055,Centro,2
1279405.97,152.39,2,2,3,0,-23.636068,-46.630011,Vila Nobre,2
1269875.28,135.65,4,2,1,39,-23.574662,-46.552014,Vila Nobre,3
574752.37,50.21,2,3,1,4,-23.520884,-46.574647,Jardim Sul,2
636750.28,47.24,3,2,2,20,-23.58104,-46.674538,Jardim Sul,2
929255.47,115.76,3,2,1,29,-23.514638,-46.597831,Jardim Sul,3
437766.21,71.07,2,2,1,48,-23.525422,-46.593492,Centro,2
919753.04,98.84,3,2,1,3,-23.512275,-46.683933,Vila Nobre,1
868003.9,108.08,2,2,2,13,-23.63587,-46.613558,Jardim Sul,3
1040075.81,82.68,3,1,2,40,-23.562904,-46.536256,Vila Nobre,2
553303.34,56.25,3,2,1,43,-23.606243,-46.659297,Jardim Sul,3
1040025.58,86.84,2,2,2,29,-23.616597,-46.632774,Vila Nobre,2
538604.86,72.81,3,3,1,3,-23.696665,-46.599896,Zona Leste,2
1290364.07,107.28,2,1,2,6,-23.607252,-46.691253,Vila Nobre,2
1227675.59,99.72,3,3,2,37,-23.623155,-46.682247,Vila Nobre,2
531084.78,53.41,2,1,2,10,-23.567067,-46.564161,Jardim Sul,3
648256.36,105.93,3,2,1,6,-23.614266,-46.651007,Bairro Industrial,2
895391.82,135.11,3,2,0,24,-23.635427,-46.580044,Jardim Sul,2
920598.89,124.59,4,3,1,47,-23.695098,-46.546635,Jardim Sul,2
402732.57,79.66,3,2,1,23,-23.604495,-46.607501,Bairro Industrial,2
744791.27,91.19,3,3,3,35,-23.513811,-46.509301,Zona Leste,3
622022.37,102.45,3,2,1,4,-23.677693,-46.602421,Zona Leste,2
833530.51,98.38,2,3,3,31,-23.598837,-46.618513,Jardim Sul,2
1146951.16,144.06,2,2,1,17,-23.589084,-46.541637,Jardim Sul,2
529961.48,51.7,3,1,1,7,-23.584498,-46.519138,Centro,3
738476.29,84.2,2,2,1,17,-23.540036,-46.542911,Jardim Sul,2
736487.82,94.31,3,2,1,21,-23.577545,-46.53184,Zona Leste,2
1271412.3,115.28,3,2,2,35,-23.621712,-46.50052,Vila Nobre,3
810630.31,81.89,1,1,2,13,-23.531371,-46.575636,Jardim Sul,3
704061.63,92.24,2,1,1,15,-23.576448,-46.508962,Centro,2
764626.65,89.97,3,2,2,6,-23.516372,-46.546719,Jardim Sul,1
1023638.47,112.58,3,2,1,21,-23.532406,-46.511752,Vila Nobre,2
657429.38,47.21,3,1,3,34,-23.595263,-46.606436,Jardim Sul,3
1004082.66,110.2,3,2,1,43,-23.574106,-46.666507,Vila Nobre,3
830606.39,95.43,2,1,2,35,-23.511288,-46.528182,Jardim Sul,2
906803.51,109.51,3,1,1,23,-23.524975,-46.636346,Jardim Sul,2
1465120.88,179.08,1,1,3,49,-23.612453,-46.533161,Vila Nobre,2
1025975.0,126.19,3,3,2,12,-23.514115,-46.616588,Jardim Sul,2
429343.89,23.41,2,2,1,16,-23.537938,-46.686442,Jardim Sul,2
540659.59,70.15,2,2,1,31,-23.53139,-46.690419,Jardim Sul,1
881476.36,78.36,2,3,0,37,-23.531322,-46.591638,Vila Nobre,2
526774.5,86.9,2,2,2,27,-23.644599,-46.613312,Centro,1
482319.02,120.29,2,2,0,45,-23.502334,-46.530973,Bairro Industrial,1
600268.93,83.06,3,2,1,37,-23.67789,-46.583098,Centro,2
829478.09,123.41,3,2,2,11,-23.624728,-46.671267,Centro,2
384503.02,16.74,3,3,1,16,-23.618819,-46.620182,Jardim Sul,3
660431.04,83.52,4,3,0,25,-23.62752,-46.690334,Jardim Sul,1
214025.94,14.13,2,2,1,28,-23.501439,-46.576659,Bairro Industrial,3
330608.98,25.37,2,1,2,12,-23.593324,-46.659863,Centro,1
706143.76,61.07,2,1,1,34,-23.678478,-46.621951,Vila Nobre,2
734941.24,72.98,3,2,1,20,-23.581493,-46.588888,Jardim Sul,3
247877.64,4.8,2,2,3,25,-23.592473,-46.518857,Zona Leste,2
503626.09,59.16,3,2,2,21,-23.585599,-46.585631,Centro,3
1345665.92,103.61,3,2,1,16,-23.627826,-46.578861,Vila Nobre,3
1124534.62,114.51,3,2,2,11,-23.534007,-46.669892,Vila Nobre,1
658705.98,88.68,3,2,1,41,-23.661283,-46.501241,Zona Leste,1
508187.03,18.66,2,1,2,21,-23.592928,-46.51947,Vila Nobre,3
960613.78,134.51,3,2,1,44,-23.665618,-46.671215,Centro,2
694281.25,91.71,4,3,1,46,-23.697115,-46.54981,Zona Leste,2
775145.33,142.03,3,2,1,27,-23.596929,-46.655345,Zona Leste,1
750509.19,135.53,3,1,2,9,-23.563396,-46.550758,Bairro Industrial,2
329393.95,25.68,2,2,1,43,-23.546312,-46.54382,Zona Leste,2
654354.74,131.61,2,2,1,49,-23.684352,-46.520846,Bairro Industrial,3
767653.74,91.21,4,3,1,8,-23.635623,-46.506475,Centro,2
845563.42,85.0,3,1,1,0,-23.513612,-46.580296,Jardim Sul,3
388206.18,43.82,3,2,0,43,-23.674511,-46.545938,Jardim Sul,3
1099140.86,117.18,2,2,1,43,-23.647613,-46.638664,Vila Nobre,2
1050579.66,108.42,2,3,2,19,-23.628675,-46.628524,Vila Nobre,2
727096.04,83.63,2,1,1,20,-23.594597,-46.583792,Vila Nobre,1
1051103.75,174.4,3,2,1,13,-23.568573,-46.654177,Centro,1
1014220.01,105.31,3,3,2,7,-23.605422,-46.62758,Vila Nobre,1
531527.99,95.01,3,2,1,25,-23.615815,-46.578489,Zona Leste,2
527993.66,42.24,2,2,1,7,-23.597273,-46.659481,Jardim Sul,2
692093.06,155.65,2,2,1,16,-23.686446,-46.511281,Zona Leste,2
603729.08,98.18,3,2,1,11,-23.667509,-46.594108,Bairro Industrial,2
440453.51,48.75,3,1,2,20,-23.544619,-46.629483,Centro,2
817872.8,136.89,2,1,2,44,-23.514874,-46.552685,Centro,1
461363.61,39.46,3,3,3,1,-23.594327,-46.57483,Centro,3
782710.27,169.55,1,1,0,48,-23.548384,-46.639075,Centro,2
617353.39,92.79,2,2,3,6,-23.576846,-46.550446,Centro,2
988551.29,108.13,2,2,3,23,-23.670182,-46.595488,Jardim Sul,2
902829.07,94.23,4,3,3,22,-23.526456,-46.59761,Zona Leste,2
442283.79,29.33,2,1,3,11,-23.500074,-46.57988,Jardim Sul,2
653015.99,77.7,3,3,2,7,-23.561568,-46.562613,Jardim Sul,1
847678.83,117.57,4,2,3,7,-23.617603,-46.503812,Zona Leste,2
926532.04,103.09,1,1,1,32,-23.516074,-46.638933,Vila Nobre,2
654145.67,74.84,2,2,1,25,-23.642433,-46.684254,Jardim Sul,2
386147.45,23.49,3,1,2,6,-23.509629,-46.645043,Centro,2
316307.63,40.64,3,3,2,27,-23.66257,-46.668593,Bairro Industrial,2
774630.02,103.16,4,3,1,7,-23.640751,-46.695815,Jardim Sul,1
862448.54,72.35,2,2,2,13,-23.625112,-46.504114,Jardim Sul,3
924106.51,102.41,3,3,2,24,-23.608345,-46.545379,Jardim Sul,2
668567.19,138.68,2,1,2,48,-23.652926,-46.646899,Zona Leste,1
900740.68,61.38,3,2,1,19,-23.562388,-46.505313,Vila Nobre,2
512755.7,74.82,2,1,1,33,-23.583263,-46.59377,Zona Leste,3
621386.54,95.81,1,1,1,33,-23.577918,-46.648319,Jardim Sul,2
693742.4,85.77,3,3,2,31,-23.512764,-46.55491,Jardim Sul,2
969105.24,74.1,4,2,2,17,-23.631066,-46.547008,Vila Nobre,1
814607.69,117.66,2,2,1,14,-23.663178,-46.623362,Centro,3
533970.49,89.19,3,1,2,2,-23.593182,-46.653711,Zona Leste,1
353331.84,27.59,3,2,1,29,-23.660892,-46.512657,Zona Leste,2
683584.98,112.51,4,3,2,29,-23.657277,-46.687529,Centro,1
645194.46,109.9,4,2,1,41,-23.604619,-46.590437,Zona Leste,1
871245.7,77.12,2,2,3,31,-23.613499,-46.561306,Vila Nobre,2
643638.81,43.24,2,3,1,22,-23.505173,-46.528634,Vila Nobre,3
881823.64,140.29,3,2,2,5,-23.542452,-46.573408,Centro,2
857193.78,182.44,2,1,3,39,-23.503632,-46.564643,Bairro Industrial,3
782615.44,63.95,3,2,1,25,-23.595608,-46.51285,Vila Nobre,3
981342.69,112.23,2,2,2,28,-23.654855,-46.561161,Jardim Sul,3
1189284.75,143.39,2,2,2,3,-23.593115,-46.552272,Vila Nobre,2
1221752.37,125.23,1,1,2,18,-23.574068,-46.579141,Vila Nobre,2
243278.1,31.17,2,2,3,43,-23.694322,-46.536298,Bairro Industrial,2
1271666.84,154.45,3,2,1,28,-23.682225,-46.686079,Jardim Sul,2
697495.53,99.66,2,2,1,5,-23.512006,-46.574221,Zona Leste,3
1037107.74,73.5,2,1,1,13,-23.643673,-46.649256,Vila Nobre,3
1237301.89,114.11,3,3,1,43,-23.696308,-46.587476,Vila Nobre,3
384383.48,45.76,2,2,2,43,-23.648886,-46.646179,Jardim Sul,3
546544.52,87.28,2,2,1,17,-23.630881,-46.553762,Centro,2
630908.66,83.55,3,2,2,40,-23.57866,-46.67903,Zona Leste,2
793261.63,120.7,2,3,2,0,-23.684973,-46.622582,Jardim Sul,2
969273.28,164.54,2,1,3,22,-23.56626,-46.659688,Zona Leste,3
796208.54,96.36,2,2,2,26,-23.62599,-46.552203,Jardim Sul,3
552007.83,70.49,4,2,1,40,-23.621981,-46.610259,Zona Leste,2
1288075.34,105.99,4,3,2,43,-23.643875,-46.592234,Vila Nobre,2
455324.0,40.68,2,2,2,22,-23.525348,-46.620942,Zona Leste,3
557320.57,81.68,3,2,3,1,-23.532468,-46.587851,Bairro Industrial,2
815867.34,66.1,2,2,1,40,-23.680565,-46.576527,Vila Nobre,2
899125.1,116.48,2,2,1,15,-23.560376,-46.601602,Vila Nobre,1
907736.12,119.03,2,2,1,13,-23.541144,-46.555845,Vila Nobre,2
1233416.09,128.95,2,2,2,33,-23.617096,-46.621558,Vila Nobre,3
625388.07,129.5,3,2,1,22,-23.685165,-46.690999,Centro,1
1062678.31,137.77,2,2,0,26,-23.698869,-46.611341,Vila Nobre,2
694395.14,124.81,3,2,1,3,-23.573409,-46.538929,Bairro Industrial,2
1244252.7,120.41,2,2,2,13,-23.554958,-46.505595,Vila Nobre,3
560514.28,49.33,4,2,1,37,-23.686075,-46.557996,Jardim Sul,2
757119.05,111.36,2,1,3,25,-23.699368,-46.686958,Jardim Sul,2
365420.37,27.44,2,2,1,37,-23.678062,-46.63157,Jardim Sul,3
488345.94,40.54,2,2,2,9,-23.639755,-46.692512,Bairro Industrial,3
574533.03,76.37,2,1,1,11,-23.633343,-46.595698,Zona Leste,2
744398.17,49.37,2,3,1,3,-23.689795,-46.574738,Vila Nobre,2
751736.81,108.87,2,2,1,10,-23.526708,-46.683896,Jardim Sul,2
742406.19,109.36,2,1,2,35,-23.681625,-46.524187,Jardim Sul,1
793294.56,116.45,2,1,3,20,-23.586494,-46.574176,Jardim Sul,1
594945.48,64.07,2,3,1,31,-23.658069,-46.645775,Jardim Sul,3
711825.95,47.65,3,2,2,14,-23.694297,-46.509212,Vila Nobre,2
665449.26,59.4,3,2,2,22,-23.650997,-46.636603,Jardim Sul,1
612400.08,71.45,3,2,1,38,-23.594053,-46.63432,Centro,3
410456.09,38.02,2,3,1,6,-23.651264,-46.624364,Zona Leste,2
898447.42,78.29,3,2,1,47,-23.505771,-46.52064,Vila Nobre,3
1073238.07,172.42,2,3,2,38,-23.541954,-46.697535,Zona Leste,2
481164.05,31.76,2,1,1,48,-23.526775,-46.650792,Vila Nobre,2
227404.77,11.74,1,1,1,38,-23.57463,-46.554847,Jardim Sul,1
940945.55,78.23,4,3,1,7,-23.640266,-46.503812,Jardim Sul,3
733972.89,127.46,2,3,2,6,-23.564559,-46.507504,Zona Leste,1
1323568.38,129.61,4,2,1,44,-23.504778,-46.672001,Vila Nobre,2
366288.98,6.11,2,2,1,30,-23.537425,-46.559525,Vila Nobre,3
400510.37,20.41,3,2,1,29,-23.653634,-46.545646,Jardim Sul,2
799461.13,92.2,2,1,2,5,-23.660161,-46.606261,Jardim Sul,2
604956.66,50.74,2,2,1,21,-23.568876,-46.671028,Jardim Sul,2
583285.39,68.11,2,2,1,41,-23.515407,-46.526324,Jardim Sul,3
825637.28,67.52,4,2,3,17,-23.500336,-46.541088,Jardim Sul,3
594395.45,64.94,3,2,1,22,-23.535892,-46.623233,Jardim Sul,3
1025381.88,96.14,3,3,0,21,-23.501428,-46.532288,Jardim Sul,3
619667.2,86.03,3,2,2,42,-23.59474,-46.696484,Jardim Sul,2
1228315.91,147.4,2,3,2,47,-23.531068,-46.580776,Vila Nobre,1
621598.86,84.93,1,1,1,27,-23.680934,-46.571325,Zona Leste,3
1057612.09,110.56,3,2,1,3,-23.649356,-46.664647,Vila Nobre,1
1248560.06,87.22,2,3,3,6,-23.61838,-46.624519,Vila Nobre,3
617262.53,86.95,2,2,1,40,-23.550753,-46.661126,Zona Leste,2
864333.63,91.03,2,2,2,17,-23.603896,-46.687689,Vila Nobre,2
881138.27,88.66,3,2,1,9,-23.545223,-46.697313,Vila Nobre,2
649584.14,79.34,3,1,0,32,-23.675625,-46.689489,Jardim Sul,2
1112266.35,99.5,3,3,2,31,-23.663597,-46.686449,Vila Nobre,2
520333.59,50.34,2,3,2,43,-23.658158,-46.665785,Jardim Sul,2
1294494.42,191.61,2,2,2,16,-23.627424,-46.645186,Jardim Sul,2
771412.93,90.49,2,2,2,37,-23.691478,-46.687859,Jardim Sul,3
773411.51,94.9,3,2,1,17,-23.582862,-46.630601,Centro,3
492335.12,99.39,2,1,0,27,-23.627386,-46.59013,Centro,2
1521225.04,170.2,2,2,1,46,-23.532691,-46.54798,Vila Nobre,2
1418420.48,146.91,3,2,1,24,-23.686244,-46.679124,Vila Nobre,1
1371308.28,124.35,2,2,1,30,-23.585744,-46.596652,Vila Nobre,3
812163.13,71.27,2,2,3,26,-23.623365,-46.521969,Jardim Sul,3
910065.03,148.44,2,1,2,11,-23.579366,-46.525415,Zona Leste,2
799033.4,121.25,1,1,1,12,-23.52802,-46.623884,Zona Leste,3
542400.02,83.74,2,3,0,32,-23.64471,-46.569117,Jardim Sul,1
1422984.19,150.03,2,2,1,36,-23.696161,-46.523884,Vila Nobre,3
500499.23,65.86,2,2,3,11,-23.594383,-46.582734,Bairro Industrial,2
858065.65,121.18,2,3,2,2,-23.676578,-46.688462,Zona Leste,3
722028.88,97.42,3,3,1,3,-23.593459,-46.577548,Jardim Sul,1
529340.64,80.39,2,1,1,34,-23.546823,-46.505069,Centro,2
1168126.28,136.94,3,2,3,11,-23.607102,-46.536635,Vila Nobre,2
517413.72,77.81,3,1,2,44,-23.634743,-46.64668,Zona Leste,2
789883.11,93.29,3,2,1,12,-23.697388,-46.603119,Vila Nobre,1
649736.23,76.67,3,2,1,32,-23.555842,-46.65208,Jardim Sul,2
874083.13,144.07,2,1,2,18,-23.5546,-46.640991,Centro,1
1063520.22,116.47,2,1,2,24,-23.694054,-46.574349,Vila Nobre,2
791244.67,78.54,4,3,0,27,-23.5652,-46.665122,Vila Nobre,1
1499135.49,183.0,2,1,1,20,-23.529572,-46.540628,Vila Nobre,2
1111880.55,121.79,4,3,1,13,-23.602126,-46.606602,Vila Nobre,2
518621.05,73.25,3,3,1,19,-23.569769,-46.56254,Centro,2
427982.33,1.56,3,1,1,29,-23.580068,-46.652623,Vila Nobre,3
1054953.71,101.01,3,3,1,36,-23.562384,-46.645044,Vila Nobre,1
682372.47,138.32,3,2,1,34,-23.661699,-46.551793,Bairro Industrial,1
1335525.53,131.93,2,3,2,32,-23.69344,-46.50864,Vila Nobre,2
1331105.09,152.27,2,2,1,48,-23.605899,-46.610388,Jardim Sul,3
1039360.65,116.19,4,2,1,20,-23.521483,-46.64314,Vila Nobre,1
625437.46,90.9,1,1,0,5,-23.657232,-46.541915,Zona Leste,3
476642.8,36.92,3,2,1,37,-23.620547,-46.609338,Jardim Sul,3
917886.37,129.83,3,1,3,17,-23.692225,-46.674977,Jardim Sul,2
605091.38,107.07,3,2,3,16,-23.692053,-46.683546,Bairro Industrial,2
705576.66,147.85,2,1,1,43,-23.623897,-46.630575,Zona Leste,3
823489.15,151.1,2,2,2,39,-23.652892,-46.585879,Jardim Sul,1
301503.1,35.96,2,2,1,38,-23.622354,-46.691529,Centro,2
571202.67,69.7,3,2,1,49,-23.659765,-46.533218,Centro,3
1017669.25,81.0,3,2,2,45,-23.593498,-46.687013,Vila Nobre,3
914827.85,117.62,3,2,0,6,-23.665677,-46.582838,Vila Nobre,1
766816.9,70.1,1,1,1,1,-23.637045,-46.642612,Vila Nobre,1
775564.44,73.15,3,3,1,43,-23.510899,-46.696872,Vila Nobre,3
693469.63,104.62,1,1,1,26,-23.675832,-46.57213,Centro,2
377079.92,36.1,1,1,1,14,-23.669573,-46.590608,Zona Leste,3
658949.3,115.56,2,2,0,32,-23.604169,-46.602598,Centro,2
1169099.93,146.93,3,2,2,14,-23.650325,-46.60325,Jardim Sul,3
752336.21,61.05,3,2,1,7,-23.511291,-46.592287,Vila Nobre,2
587151.48,74.37,4,2,1,49,-23.664599,-46.610235,Centro,2
913551.41,72.88,4,3,0,6,-23.518038,-46.557231,Vila Nobre,2
689058.88,119.48,3,1,1,46,-23.523618,-46.501046,Centro,2
597274.59,54.38,4,2,0,1,-23.595234,-46.591946,Centro,3
778885.28,129.25,3,1,2,44,-23.594401,-46.576965,Jardim Sul,1
